24-12-2020 14:49:21 - ERROR - v: 7.0.0 - m: 60,4 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:32 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:32 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:32 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:33 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:33 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:55 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:55 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:55 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:56 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:56 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:05 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:05 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:05 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:05 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:05 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:31 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:31 - ERROR - v: 7.0.0 - m: 58,9 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:32 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:33 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:50:33 - ERROR - v: 7.0.0 - m: 60,4 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
